Semester | Course Name                    | Total Credits | Grade |
1        | Introduction to Programming    | 3             | A-    |
1        | Circuits and Network Analysis  | 3             | A-    |
1        | Intro to Life Sciences         | 1             | A     |
1        | Calculus 1                     | 1             | B     |
1        | Calculus 2                     | 1             | C     |
1        | Modern Physics                 | 2             | B     |
1        | Environment Chemistry          | 2             | B     |
1        | Communication skills           | 2             | B     |
1        | Introduction to ICDT           | 1             | B     |
2        | Japanese Reading and Writing   | 1             | A     |
2        | Vector Calculus                | 1             | B     |
2        | Differential Equations         | 1             | A-    |
